Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,cluster
Alyeska Resort,Alaska,3939,7.824445930877619,1,0.0,0,2,2,0,0,2,7,4.343805421853684,1.0986122886681098,0.6931471805599453,7.384610383176974,4.736198448394496,150.0,4.110873864173311,6.507277712385012,65.0,85.0,150.0,6.311734809152915,2
Eaglecrest Ski Area,Alaska,2600,7.340186835320115,0,0.0,0,0,0,0,4,0,4,3.6109179126442243,0.6931471805599453,1.0986122886681098,6.46302945692067,4.110873864173311,45.0,3.8066624897703196,5.860786223465865,47.0,53.0,90.0,0.0,0
Hilltop Ski Area,Alaska,2090,5.68697535633982,0,0.0,0,0,0,1,0,2,3,2.6390573296152584,0.6931471805599453,0.6931471805599453,3.4339872044851463,3.4339872044851463,150.0,3.6109179126442243,4.248495242049359,30.0,34.0,152.0,3.4339872044851463,0
Arizona Snowbowl,Arizona,11500,7.741099090035366,0,0.0,1,0,2,2,1,2,8,4.02535169073515,1.6094379124341003,1.0986122886681098,6.656726524178391,4.653960350157523,122.0,4.406719247264253,5.564520407322694,89.0,89.0,122.0,0.0,3
Sunrise Park Resort,Arizona,11100,7.496097345175956,0,0.0,0,1,2,3,1,0,7,4.189654742026425,1.0986122886681098,0.7884573603642703,6.68586094706836,4.394449154672439,115.0,3.912023005428146,5.5254529391317835,74.0,78.0,104.0,4.394449154672439,3
Yosemite Ski & Snowboard Area,California,7800,6.398594934535208,0,0.0,0,0,0,1,3,1,5,2.3978952727983707,1.0986122886681098,0.3364722366212129,4.48863636973214,0.0,110.0,4.442651256490317,5.707110264748875,47.0,47.0,107.0,0.0,1
Bear Mountain,California,8805,7.418180822726788,0,0.0,0,2,1,2,3,4,12,3.332204510175204,2.70805020110221,0.9162907318741551,5.293304824724492,5.293304824724492,122.0,4.343805421853684,4.61512051684126,57.91695652173913,47.0,130.0,0.0,1
Bear Valley,California,8500,7.550135342488429,0,0.0,1,1,0,2,4,2,10,4.219507705176107,1.0986122886681098,0.7884573603642703,7.427144133408616,4.61512051684126,165.0,3.970291913552122,5.886104031450156,57.91695652173913,47.0,151.0,0.0,1
Boreal Mountain Resort,California,7700,6.2166061010848646,0,0.0,0,1,1,3,1,2,8,3.5263605246161616,1.9459101490553132,0.6931471805599453,5.942799375126701,5.303304908059076,150.0,4.007333185232471,5.993961427306569,49.0,47.0,150.0,5.303304908059076,1
Dodge Ridge,California,8200,7.3783837129967145,0,0.0,0,0,1,2,5,4,12,4.219507705176107,1.791759469228055,1.0986122886681098,6.760414691083428,0.0,115.10394265232976,4.248495242049359,5.860786223465865,78.0,78.0,140.0,0.0,1
